pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,mean_height_m
9,152,Shahjahanpur,2020,5.370743475433825e8,3.6899197032334596e8,0.6870407644884592
9,152,Shahjahanpur,2021,5.618673921071385e8,3.919307176323484e8,0.6975502104909728
9,152,Shahjahanpur,2022,5.732787824787493e8,3.356374141152512e8,0.5854697999880937
9,152,Shahjahanpur,2023,5.90759826108272e8,3.439196962244699e8,0.5821650034838993
9,153,Kheri,2016,6.953523613450367e8,4.261916765690206e8,0.6129146893880217
9,153,Kheri,2017,7.212869285115768e8,4.4931598672456604e8,0.6229365443399332
9,153,Kheri,2018,7.447516013818742e8,5.1690075180814856e8,0.694057925956853
9,153,Kheri,2019,7.81018947059911e8,5.263095361827189e8,0.6738755034867884
9,153,Kheri,2020,7.967347290660193e8,5.299607102208395e8,0.6651658210532526
9,153,Kheri,2021,8.184992805982726e8,5.50607957105889e8,0.6727042651808178
9,153,Kheri,2022,8.243994342266732e8,4.675393185922882e8,0.5671271706182851
9,153,Kheri,2023,8.438055945271024e8,4.561549828188077e8,0.5405925082476523
9,154,Sitapur,2016,6.649469674175743e8,4.314078689612798e8,0.6487853770304718
9,154,Sitapur,2017,6.91096854541276e8,4.4172854713840723e8,0.6391702468847293
9,154,Sitapur,2018,7.142703597395107e8,4.9150923453508854e8,0.6881277205935558
9,154,Sitapur,2019,7.51870675997212e8,5.164845951157106e8,0.6869327553314843
9,154,Sitapur,2020,7.816744268398516e8,5.068909009486632e8,0.6484680623337243
9,154,Sitapur,2021,8.239360599138634e8,5.501100222536756e8,0.6676610589311817
9,154,Sitapur,2022,8.227756325661192e8,4.421424531802471e8,0.537379129473327
9,154,Sitapur,2023,8.488277220213236e8,4.422314738514955e8,0.520990846998263
9,155,Hardoi,2016,6.346421499198108e8,4.3298566510677063e8,0.682251667591697
9,155,Hardoi,2017,6.500554257111595e8,4.3952839004362637e8,0.6761398684778042
9,155,Hardoi,2018,6.70185690346852e8,5.168522213267019e8,0.7712074858823188
9,155,Hardoi,2019,7.064725000400813e8,5.288869273283987e8,0.7486305939698893
9,155,Hardoi,2020,7.438737531151425e8,5.188441687761313e8,0.6974895492727791
9,155,Hardoi,2021,7.715797939767078e8,5.626015040785137e8,0.7291553102743608
9,155,Hardoi,2022,7.694817426733226e8,4.368205198149586e8,0.5676814608977764
9,155,Hardoi,2023,7.935734084440794e8,4.452466677097375e8,0.5610655082088888
9,156,Unnao,2016,6.043886293268154e8,4.15380889631315e8,0.6872744943828238
9,156,Unnao,2017,6.21973020538243e8,4.2372803253372324e8,0.6812643290653306
9,156,Unnao,2018,6.301852447420306e8,4.705090014692754e8,0.746620149225932
9,156,Unnao,2019,6.704561847410234e8,4.906489719920083e8,0.7318136265407573
9,156,Unnao,2020,6.938608120154909e8,4.932330438125302e8,0.7108530057776464
9,156,Unnao,2021,7.270538614374157e8,5.2923629067663217e8,0.727918959993294
9,156,Unnao,2022,6.937463913451056e8,3.969322278345384e8,0.5721575388160594
9,156,Unnao,2023,7.293709674911115e8,4.113175997663306e8,0.5639347027770791
9,157,Lucknow,2016,6.79102188933498e8,8.929262286909475e8,1.3148628339620747
9,157,Lucknow,2017,7.030385062594209e8,8.571055383807161e8,1.2191445144890038
9,157,Lucknow,2018,7.230070054389822e8,9.559665149720676e8,1.3222092009905786
9,157,Lucknow,2019,7.598435592790213e8,1.0260059187186192e9,1.3502857347269568
9,157,Lucknow,2020,7.869066823726602e8,1.101738489445362e9,1.4000878555554128
9,157,Lucknow,2021,8.176146560918237e8,1.0923720083795216e9,1.3360474891693244
9,157,Lucknow,2022,8.039892396139323e8,9.863434022403305e8,1.226811695532098
9,157,Lucknow,2023,8.373912870094746e8,1.0712077046349542e9,1.279220026829386
9,158,Rae Bareli,2016,8.956710178840188e8,4.979589634042715e8,0.555961902820833
9,158,Rae Bareli,2017,9.113146407773205e8,4.744149723464205e8,0.5205830688089907
9,158,Rae Bareli,2018,9.324051008680987e8,5.077887807252587e8,0.5446010325903314
9,158,Rae Bareli,2019,9.588622114794847e8,5.52066920949416e8,0.5757520886109379
9,158,Rae Bareli,2020,1.0069860806170497e9,5.760754276369803e8,0.5720788387501635
9,158,Rae Bareli,2021,1.0529152434079008e9,5.767055009806005e8,0.5477226249607862
9,158,Rae Bareli,2022,9.897468438167661e8,4.736779012755984e8,0.4785849070747745
9,158,Rae Bareli,2023,1.0321308015027114e9,4.932861442377183e8,0.47792987431392187
